Date,Open,High,Low,Close,Volume,AdjustedClose
20200629,1210.000,1250.000,1210.000,1220.000,7059400,610.000
20200630,1220.000,1240.000,1205.000,1215.000,7992100,607.500
20200701,1215.000,1260.000,1205.000,1255.000,10223400,627.500
20200702,1260.000,1265.000,1225.000,1230.000,9531800,615.000
20200703,1240.000,1240.000,1225.000,1225.000,2422800,612.500
20200706,1225.000,1240.000,1225.000,1230.000,4494800,615.000
20200707,1230.000,1245.000,1180.000,1230.000,2285000,615.000
20200708,1235.000,1245.000,1220.000,1225.000,11550200,612.500
20200709,1230.000,1235.000,1220.000,1230.000,16559300,615.000
20200710,1230.000,1235.000,1220.000,1225.000,4635500,612.500
20200713,1230.000,1230.000,1215.000,1220.000,4506400,610.000
20200714,1225.000,1230.000,1215.000,1215.000,2713600,607.500
20200715,1225.000,1225.000,1215.000,1220.000,2204100,610.000
20200716,1220.000,1230.000,1215.000,1220.000,1024000,610.000
20200717,1220.000,1230.000,1205.000,1210.000,5929100,605.000
20200720,1210.000,1220.000,1210.000,1210.000,1504500,605.000
20200721,1215.000,1275.000,1210.000,1240.000,19650700,620.000
20200722,1270.000,1270.000,1240.000,1245.000,8680900,622.500
20200723,1250.000,1290.000,1250.000,1270.000,12832700,635.000
20200724,1275.000,1280.000,1230.000,1235.000,6333000,617.500
20200727,1240.000,1260.000,1240.000,1255.000,4174600,627.500
20200728,1255.000,1255.000,1245.000,1250.000,1964000,625.000
20200729,1250.000,1275.000,1245.000,1270.000,4470000,635.000
20200730,1280.000,1315.000,1270.000,1300.000,16329500,650.000
20200803,1300.000,1325.000,1245.000,1285.000,12874200,642.500
20200804,1285.000,1315.000,1275.000,1300.000,8643300,650.000
20200805,1300.000,1395.000,1285.000,1375.000,15092500,687.500
20200806,1390.000,1450.000,1370.000,1400.000,11934600,700.000
20200807,1405.000,1415.000,1365.000,1405.000,7144000,702.500
20200810,1410.000,1415.000,1390.000,1395.000,5575900,697.500
20200811,1405.000,1410.000,1375.000,1380.000,6695800,690.000
20200812,1380.000,1395.000,1340.000,1370.000,11475700,685.000
20200813,1380.000,1380.000,1360.000,1365.000,2904100,682.500
20200814,1370.000,1375.000,1350.000,1350.000,3741500,675.000
20200818,1350.000,1385.000,1350.000,1375.000,7363700,687.500
20200819,1375.000,1380.000,1360.000,1370.000,7633400,685.000
20200824,1375.000,1375.000,1355.000,1360.000,4748800,680.000
20200825,1365.000,1370.000,1355.000,1360.000,10279500,680.000
20200826,1365.000,1415.000,1355.000,1390.000,13520300,695.000
20200827,1390.000,1470.000,1390.000,1405.000,36136800,702.500
20200828,1410.000,1465.000,1405.000,1420.000,28382900,710.000
20200831,1425.000,1440.000,1380.000,1385.000,20437800,692.500
20200901,1390.000,1400.000,1385.000,1400.000,6246800,700.000
20200902,1400.000,1415.000,1390.000,1400.000,4995200,700.000
20200903,1400.000,1405.000,1390.000,1395.000,2775700,697.500
20200904,1395.000,1400.000,1350.000,1400.000,10164300,700.000
20200907,1400.000,1410.000,1385.000,1400.000,7252600,700.000
20200908,1395.000,1470.000,1395.000,1460.000,28559300,730.000
20200909,1455.000,1535.000,1420.000,1480.000,37290100,740.000
20200910,1480.000,1480.000,1380.000,1385.000,26514000,692.500
20200911,1385.000,1495.000,1320.000,1495.000,34101900,747.500
20200914,750.000,830.000,745.000,810.000,144926100,810.000
20200915,815.000,825.000,790.000,790.000,43493100,790.000
20200916,790.000,795.000,755.000,765.000,33637600,765.000
20200917,765.000,785.000,755.000,755.000,24400000,755.000
20200918,755.000,780.000,755.000,770.000,18533500,770.000
20200921,770.000,780.000,730.000,770.000,27164900,770.000
20200922,770.000,770.000,735.000,750.000,32134800,750.000
20200923,750.000,750.000,720.000,740.000,27263900,740.000
20200924,740.000,740.000,720.000,730.000,19838500,730.000
20200925,730.000,760.000,725.000,755.000,19536500,755.000
20200928,765.000,765.000,735.000,740.000,12440300,740.000
20200929,745.000,750.000,725.000,730.000,10425200,730.000
20200930,735.000,745.000,720.000,745.000,9172900,745.000
20201001,745.000,755.000,740.000,745.000,10785800,745.000
20201002,745.000,755.000,720.000,740.000,12414000,740.000
20201005,740.000,745.000,720.000,735.000,4848600,735.000
20201006,745.000,755.000,735.000,745.000,14741300,745.000
20201007,745.000,755.000,740.000,745.000,7314600,745.000
20201008,750.000,790.000,745.000,785.000,33717500,785.000
